Article Title,Author Keywords,Publication Year
The occurrence of peri-implant mucositis associated with the shift of submucosal microbiome in patients with a history of periodontitis during the first two years,high-throughput sequence; history of periodontitis; peri-implant microbiome; peri-implant mucositis; prediction model; prospective study,2021
Treatment of localized aggressive periodontitis alters local host immunoinflammatory profiles: A long-term evaluation,aggressive periodontitis; gingival crevicular fluid; inflammation; long-term effects; therapy,2021
"Periodontal treatment, psychological factors and oral health-related quality of life",non-surgical; oral health related quality of life; outcome predictors; periodontal treatment,2021
"The staging and grading system in defining periodontitis cases: consistency and accuracy amongst periodontal experts, general dentists and undergraduate students",classification; data accuracy; diagnosis; periodontitis; reproducibility of results,2021
Immediate placement of single implants with or without immediate provisionalization in the maxillary aesthetic region: A 5-year comparative study,aesthetic region; dental implants; immediate placement,2021
Peripheral memory T-cell profile is modified in patients undergoing periodontal management,disease management; host&#8211; pathogen interactions; immunologic memory; periodontitis; T-lymphocytes,2021
Immediate implant placement with or without connective tissue graft: A systematic review and meta-analysis,connective tissue graft; dental implant; immediate; single tooth; soft tissue augmentation,2021
The prevalence and severity of periodontal disease in Mainland China: Data from the Fourth National Oral Health Survey (2015-2016),Chinese adults; mainland China; periodontal condition; the 4th National Oral Health Survey,2021
Keratinized tissue gain after free gingival graft augmentation procedures around teeth and dental implants: A prospective observational study,dental implants; dimensional changes; free gingival grafts; gingival augmentation,2021
Volumetric changes at implant sites: A systematic appraisal of traditional methods and optical scanning-based digital technologies,dental implant; digital data; soft tissue augmentation; soft tissue grafting; three-dimensional analysis,2021
The association between metabolic syndrome and periodontitis in Spain: Results from the WORALTH (Workers' ORAL healTH) Study,dental health surveys; high blood pressure; impaired glucose regulation; metabolic syndrome; obesity; periodontitis,2021
A quantitative bias analysis to assess the impact of unmeasured confounding on associations between diabetes and periodontitis,bias; confounding factors; diabetes mellitus; periodontal disease; periodontitis,2021
Salivary biomarkers for discriminating periodontitis in the presence of diabetes,biological markers; diabetes; metalloproteases; periodontitis; saliva,2021
Peripheral T helper cell profiles during management of periodontitis,cytokines; periodontal debridement; periodontitis; T lymphocytes; helper-induced; T lymphocytes; regulatory,2021
Periodontal surgery using rhFGF-2 with deproteinized bovine bone mineral or rhFGF-2 alone: 2-year follow-up of a randomized controlled trial,bone graft; deproteinized bovine bone mineral (DBBM); FGF-2; intrabony defects; patient-reported outcome; periodontal regenerative therapy; periodontitis,2021
Volumetric soft tissue alterations in the early healing phase after peri- implant soft tissue contour augmentation with a porcine collagen matrix versus the autologous connective tissue graft: A controlled clinical trial,collagen matrix; collagen-based matrix; dental implants; gingival biotype; gingival thickening; mucoderm(&)#174; Porcine collagen matrix; SCTG; soft tissue augmentation; subepithelial connective tissue graft,2021
Periodontal infrabony defects: Systematic review of healing by defect morphology following regenerative surgery,intra-bony; osseous defect; periodontitis; regeneration,2021
Incidence and progression of gingival recession over 4 years: A population-based longitudinal study,Brazil; cohort; epidemiology; gingival recession,2021
Periodontal disease and emotional disorders: A meta-analysis,anxiety; depression; observational study; periodontal disease; systematic review,2021
Risk of dementia in patients with periodontitis and related protective factors: A nationwide retrospective cohort study,dementia; influenza vaccination; metformin; periodontitis; statins,2020
Retrospective analysis of the long-term effect of subgingival air polishing in supportive periodontal therapy,equivalence test; low abrasive air polishing; supportive periodontal therapy,2021
Periodontitis and risk of prevalent and incident coronary heart disease events,coronary heart disease; inflammation; periodontitis,2020
The impact of periodontitis exposure misclassification bias from partial-mouth measurements on association with diabetes and cardiovascular disease,bias; periodontal disease; periodontitis; sensitivity and specificity,2020
Adjunctive local treatments for patients with residual pockets during supportive periodontal care: A systematic review and network meta-analysis,antibacterial agents; chronic periodontitis; evidence-based dentistry; periodontal pocket; periodontics; photochemotherapy; systematic review,2020
The associations between major dietary patterns and risk of periodontitis,diet; dietary pattern; epidemiology; periodontal disease; periodontitis,2021
Cellular expression of DNA damage/repair and reactive oxygen/nitrogen species in human periodontitis and peri-implantitis lesions,biopsy; cell density; histology; immunohistochemistry; inflammation; peri-implant disease; periodontal disease,2020
Formation and regeneration of a Wnt-responsive junctional epithelium,epithelial attachment; gingiva; gingivectomy; oral epithelium,2020
The impact of smoking on non-surgical periodontal therapy: A systematic review and meta-analysis,,2021
Oral health and changes in lipid profile: A nationwide cohort study,dyslipidaemia; oral hygiene; periodontal diseases; toothbrushing; triglyceride,2020
Association of hyperglycaemia with periodontal status: Results of the Northern Finland Birth Cohort 1966 study,alveolar bone loss; hyperglycaemia; periodontal pocket; periodontitis; prediabetes,2021
Post-extraction dimensional changes: A systematic review and meta-analysis,,2021
Obesity as a risk factor for tooth loss over 5 years: A population-based cohort study,cohort; obesity; periodontitis; risk factor; smoking; tooth loss,2021
The role of dental insurance in mitigating mortality among working-age US adults with periodontitis,dental insurance; mortality; periodontitis,2020
Diagnostic ability of salivary matrix metalloproteinase-9 lateral flow test point-of-care test for periodontitis,lateral flow test; point-of-care; MMP-9; periodontitis; saliva,2020
The combined use of salivary biomarkers and clinical parameters to predict the outcome of scaling and root planing: A cohort study,periodontitis; prognosis; saliva; scaling and root planing,2020
Periodontal regeneration using a xenogeneic bone substitute seeded with autologous periodontal ligament-derived mesenchymal stem cells: A 12-month quasi-randomized controlled pilot clinical trial,cell therapy; mesenchymal stem cells; periodontal ligament; periodontal regeneration; tissue engineering,2020
"Comparison of commercially available 0.2% chlorhexidine mouthwash with and without anti-discoloration system: A blinded, crossover clinical trial",chlorhexidine; discoloration; mouthwash; periodontal surgery; staining,2020
The effect of immediate implant placement on alveolar ridge preservation compared to spontaneous healing after tooth extraction: Soft tissue findings from a randomized controlled clinical trial,alveolar ridge preservation; immediate implant placement; soft tissue changes; STL file; tooth extraction,2020
One- versus two-stage crown lengthening surgical procedure for aesthetic restorative purposes: A randomized controlled trial,aesthetic crown lengthening; crown lengthening; periodontal surgery; randomized clinical trial,2020
Comparison of non-contrast-enhanced dental magnetic resonance imaging and cone-beam computed tomography in assessing the horizontal and vertical components of furcation defects in maxillary molars: An in vivo feasibility study,3D imaging; cone-beam computed tomography; furcation defects; magnetic resonance imaging; periodontitis,2020
Dysregulation of genes and microRNAs in localized aggressive periodontitis,,2020
Long-term outcomes of osteotome sinus floor elevation without grafting in severely atrophic maxilla: A 10-year prospective study,,2020
Development of a nomogram for the prediction of periodontal tooth loss using the staging and grading system: A long-term cohort study,disease risk; patient stratification; periodontitis; supportive periodontal therapy; tooth loss,2020
Objective masticatory efficiency and subjective quality of masticatory function among patients with periodontal disease,masticatory comfort; masticatory function; patient-reported outcome measures; periodontitis,2020
Dimensional changes of the maxillary sinus augmented with a collagenated synthetic bone block or synthetic bone particulates: A pre-clinical study in rabbits,animal experiment; histology; maxillary sinus; micro-computed tomography; synthetic biphasic calcium phosphate,2020
Salivary proteotypes of gingivitis tolerance and resilience,biomarkers; experimental gingivitis; proteomics; saliva; salivary proteotypes,2020
Buccal bone thickness of maxillary anterior teeth: A systematic review and meta-analysis,buccal bone; maxilla; teeth; thickness,2020
Diagnostic and Prognostic ability of salivary MMP-9 and S100A8 for periodontitis,diagnosis; MMP-9; periodontitis; prognosis; saliva,2020
"Three periodontitis phenotypes: Bone loss patterns, antibiotic-surgical treatment and the new classification",alveolar bone loss pattern; antibiotics; classification; periodontitis; phenotypes,2020
Aesthetic-And patient-related outcomes following root coverage procedures: A systematic review and network meta-analysis,aesthetics; gingival recession; meta-analysis; connective tissue graft; coronally advanced flap,2020
Immediate versus delayed temporization at posterior single implant sites: A randomized controlled trial,dental prostheses; loading; partial edentulism; prospective; provisionalization,2020
Epidemiology of mid-buccal gingival recessions in NHANES according to the 2018 World Workshop Classification System,2017 World Workshop; aesthetics; classification; epidemiology; hypersensitivity; mucogingival deformities and conditions; mucogingival surgery; National Health and Nutrition Examination Survey; periodontal diseases and conditions; risk factors; root caries; root coverage procedures; root sensitivity,2020
A 10-year prospective study on single immediate implants,dental implant; immediate; long-term; single-tooth,2020
Self-reported bleeding on brushing as a predictor of bleeding on probing: Early observations from the deployment of an internet of things network of intelligent power-driven toothbrushes in a supportive periodontal care population,adherence; bleeding on brushing; bleeding on probing; gingival inflammation; mHealth; periodontitis; supportive periodontal care,2020
Supportive treatment following peri-implantitis surgery: An RCT using titanium curettes or chitosan brushes,dental; oral implants; peri-implantitis; supportive peri-implant treatment,2020
Tooth-related factors for tooth loss 20 years after active periodontal therapy-A partially prospective study,patient adherence; periodontal treatment; smoking; tooth loss; tooth-related factors,2020
Determining the minimal important difference of the Oral Health Impact Profile for Chronic Periodontitis,chronic periodontitis; MID; OHRQoL,2020
Periodontal and peri-implant diseases in centenarians,centenarians; gerodontology; peri-implant disease; periodontal disease,2020
Self-reported illness perception and oral health-related quality of life predict adherence to initial periodontal treatment,brief-IPQ; OHRQoL; patient adherence; periodontal disease; periodontitis,2020
Short-term comparison of two non-surgical treatment modalities of peri-implantitis: Clinical and microbiological outcomes in a two-factorial randomized controlled trial,dental disinfectants; dental implant; peri-implantitis; randomized controlled trial,2020
Dose-dependent effect of smoking and smoking cessation on periodontitis-related tooth loss during 10-47 years periodontal maintenance-A retrospective study in compliant cohort,cigarette smoking; mouth diseases; periodontitis; tooth extraction; validation study,2020
Oral health-related quality of life impacts are low 27 years after periodontal therapy,oral health-related quality of life; periodontitis; supportive periodontal therapy; tooth loss,2020
Feasibility and needs for simultaneous or staged bone augmentation to place prosthetically guided dental implants after extraction or exfoliation of first molars due to severe periodontitis,bone augmentation; dental implant; masticatory function; molar extraction; prosthetically driven implant placement; Severe periodontitis; stage III periodontitis; stage IV periodontitis,2020
The systemic inflammatory response following hand instrumentation versus ultrasonic instrumentation-A randomized controlled trial,hand instruments; periodontal treatment; randomized controlled trial; systemic inflammation; ultrasonic instruments,2020
A nomogram prediction for mandibular molar survival in Chinese patients with periodontitis: A 10-year retrospective cohort study,mandibular molar; nomogram; periodontitis; survival,2020
"Comparison of sTREM-1 and associated periodontal and bacterial factors before/after periodontal therapy, and impact of psychosocial factors",cortisol; periodontal bacteria; periodontal therapy; periodontitis; psychosocial parameters; sTREM-1,2020
"Association between periodontal disease, tooth loss and liver diseases risk",cirrhosis; liver cancer; non-alcoholic fatty liver disease; periodontal disease; tooth loss,2020
Tunnel technique with connective tissue graft versus coronally advanced flap with enamel matrix derivate for root coverage: 2-year results of an RCT using 3D digital measuring for volumetric comparison of gingival dimensions,coronally advanced flap; enamel matrix derivate; gingival recession; gingival thickness; randomized controlled trial; root coverage; subepithelial connective tissue graft; tunnel technique; volumetric measurements,2020
Spin in the abstracts of randomized controlled trials in periodontology and oral implantology: A cross-sectional analysis,oral implantology; periodontology; randomized controlled trial; spin,2020
Systematic review and sequential network meta-analysis on the efficacy of periodontal regenerative therapies,enamel matrix derivatives; guided tissue regeneration; network meta-analysis; periodontal regenerative therapies; sequential network meta-analysis; trial sequential analysis,2020
The clinical and inflammatory relationships between periodontitis and chronic obstructive pulmonary disease,co-morbidity; inflammation; neutrophil biology; physiology,2020
Volumetric assessment of tissue changes following combined surgical therapy of peri-implantitis: A pilot study,dental implants; peri-implantitis; peri-implantitis therapy; three-dimensional analysis,2020
Gingival inflammation influences oral health-related quality of life in individuals living in a rural area of southern Brazil,cross-sectional study; gingivitis; oral health; quality of life; rural health,2020
Treatment of stage I-III periodontitis-The EFP S3 level clinical practice guideline,clinical guideline; grade; health policy; oral health; periodontal therapy; periodontitis; stage,2020
Endpoints of active periodontal therapy,endpoint; oral health-related quality of life; patient-reported outcomes (pros); periodontitis; tooth survival,2020
Promoting behavioural changes to improve oral hygiene in patients with periodontal diseases: A systematic review,behavioural changes; motivational interviewing; oral hygiene; periodontal diseases; psychological intervention,2020
Impact of risk factor control interventions for smoking cessation and promotion of healthy lifestyles in patients with periodontitis: A systematic review,change of diet; periodontitis; risk factors; smoking cessation,2020
Mechanical plaque removal of periodontal maintenance patients: A systematic review and network meta-analysis,interdental devices; maintenance; supportive periodontal therapy; toothbrush,2020
Efficacy of adjunctive therapies in patients with gingival inflammation: A systematic review and meta-analysis,antiseptics; bleeding; dental biofilm; dental plaque; gingivitis; periodontitis; systematic review,2020
Efficacy of alternative or additional methods to professional mechanical plaque removal during supportive periodontal therapy: A systematic review and meta-analysis,disease progression; periodontal diseases; periodontitis; secondary prevention,2020
Subgingival instrumentation for treatment of periodontitis. A systematic review,nonsurgical treatment; periodontal disease; pocket closure; scaling and root planning; subgingival instrumentation,2020
Adjunctive laser or antimicrobial photodynamic therapy to non-surgical mechanical instrumentation in patients with untreated periodontitis: A systematic review and meta-analysis,antimicrobial photodynamic therapy; laser; non-surgical periodontal treatment; periodontitis; systematic review,2020
"The adjunctive use of host modulators in non-surgical periodontal therapy. A systematic review of randomized, placebo-controlled clinical studies",adjunctive therapy; host-modulating agents; non-surgical periodontal therapy; periodontitis; systematic review,2020
Adjunctive effect of locally delivered antimicrobials in periodontitis therapy: A systematic review and meta-analysis,local antimicrobials; meta-analysis; scaling and root planing; systematic review,2020
Adjunctive effect of systemic antimicrobials in periodontitis therapy: A systematic review and meta-analysis,meta-analysis; scaling and root planing; systematic review; systemic antimicrobials,2020
Efficacy of access flap procedures compared to subgingival debridement in the treatment of periodontitis. A systematic review and meta-analysis,clinical attachment level; periodontal debridement; periodontitis; probing depth; systematic review,2020
The efficacy of pocket elimination/reduction compared to access flap surgery: A systematic review and meta-analysis,periodontal pocket; periodontal surgery; periodontitis; pocket reduction; systematic review,2020
Regenerative surgery versus access flap for the treatment of intra-bony periodontal defects: A systematic review and meta-analysis,enamel matrix derivatives; intra-bony defect; meta-analysis; periodontal pocket; periodontal regeneration; systematic review,2020
Regenerative surgical treatment of furcation defects: A systematic review and Bayesian network meta-analysis of randomized clinical trials,furcation defect; meta-analysis; periodontal regeneration; periodontitis; systematic review,2020
Resective surgery for the treatment of furcation involvement: A systematic review,furcation involvement; long-term survival; periodontitis; resective surgery,2020
Effects of adjunctive probioticL. reuterilozenges on S/RSD outcomes at molar sites with deep pockets,L; reuteri; molar; non-surgical periodontal therapy; periodontitis; probiotics,2020
Comparison of two different periodontal risk assessment methods with regard to their agreement: Periodontal risk assessment versus periodontal risk calculator,periodontal disease progression; periodontal risk assessment; periodontal risk calculator; risk factors,2020
Hard and soft tissue alterations during the healing stage of immediate implant placement and provisionalization with or without connective tissue graft: A randomized clinical trial,aesthetics; connective tissue graft; extraction socket remodelling; immediate implant; immediate provisionalization,2020
Differences in the periodontal microbiome of successfully treated and persistent aggressive periodontitis,aggressive periodontitis; dysbiosis; microbiome; supportive periodontal therapy,2020
Psychosocial aspects of periodontal disease diagnosis and treatment: A qualitative study,oral health-related quality of life; patient experience; patient-reported outcomes; periodontitis; qualitative,2020
"The level of evidence, scientific impact and social impact of clinical studies in periodontology: A methodological study",altmetrics; bibliometrics; clinical studies; level of evidence; periodontology,2020
TLR3 ligation affects differentiation and stemness properties of gingival mesenchymal stem/progenitor cells,gingiva; inflammation; polymerase chain reaction; stem cells; stemness; toll-like receptor,2020
Efficacy of an anhydrous stannous fluoride toothpaste for relief of dentine hypersensitivity: A randomized clinical study,dentifrice; dentine sensitivity; pain; Stannous fluoride; toothpaste,2020
The impact of a modified electronic probe tip design on patient perception of discomfort during periodontal probing using standardized probing force: A randomized controlled trial,diagnosis; pain perception; periodontitis disease; visual analogue scale,2020
Vital root resection in severely furcation-involved maxillary molars: Outcomes after up to 7 years,biocompatible materials; calcium silicate cement; endodontic treatment; furcation defects; hopeless teeth; minimally invasive surgery; molar; periodontitis; pulpotomy; root resection; tooth survival; vital pulp therapy,2020
Interplay between vitamin D receptor FokI polymorphism and smoking influences Porphyromonas gingivalis proportions in subgingival plaque,alcohol drinking; periodontitis; Porphyromonas gingivalis; smoking; vitamin D receptor gene,2020
Impact of CBCT image quality on the confidence of furcation measurements,CBCT; furcation; imaging quality; periodontal surgery,2020
Local application of enamel matrix derivative prevents acute systemic inflammation after periodontal regenerative surgery: A randomized controlled clinical trial,C-reactive protein; C-reactive protein; enamel matrix derivative; periodontitis,2020
Adjunctive effect of mouthrinse on treatment of peri-implant mucositis using mechanical debridement: A randomized clinical trial,chlorhexidine; delmopinol; mouthrinse; non-surgical mechanical debridement; peri-implant mucositis,2020
Oral health and gastrointestinal cancer: A nationwide cohort study,gastrointestinal cancer; oral hygiene; periodontal disease,2020
Association between periodontitis and pulmonary function based on the Third National Health and Nutrition Examination Survey (NHANES III),NHANES III; Periodontal disease; Periodontitis; pulmonary function,2020
Tooth survival and clinical outcomes up to 26 years after guided tissue regeneration therapy in deep intra-bony defects: Follow-up investigation of three randomized clinical trials,guided tissue regeneration; intra-bony defects; long-term results; periodontal surgery,2020
Effect of self-performed mechanical plaque control frequency on gingival health in subjects with a history of periodontitis: A Randomized Clinical Trial,dental plaque; gingivitis; oral hygiene; periodontal disease,2020
In vivo accuracy of dental magnetic resonance imaging in assessing maxillary molar furcation involvement: A feasibility study in humans,3D imaging; cone-beam computed tomography; furcation involvement; magnetic resonance imaging; periodontitis,2020
Leucocyte- and platelet-rich fibrin regulates expression of genes related to early wound healing in human gingival fibroblasts,angiogenesis; fibroblast; gene expression; Leucocyte- and platelet-rich fibrin; mitogen-activated protein kinases,2020
Treatment of periodontitis reduces systemic inflammation in type 2 diabetes,inflammation; periodontitis; diabetes mellitus; type 2,2020
The correspondence of 3D supporting bone loss and crown-to-root ratio to periodontitis classification,3D supporting bone loss; clinical attachment loss; crown-to-root ratio; micro-CT; periodontitis classification; root surface area,2020
Effect of periodontal therapy on adipokine biomarkers in overweight,chemerin; orosomucoid; overweight; periodontitis; retinol-binding protein 4,2020
Long-term outcomes of osteotome sinus floor elevation with or without bone grafting: The 10-year results of a randomized controlled trial,bone remodelling; clinical outcomes; RCT; sinus floor elevation; sinus grafting,2020
Image distortion of intra-oral photographs: The root coverage model,gingival recession; image analysis; imaging; methodology; therapy; validity,2020
Increased IgA anti-citrullinated protein antibodies in the periodontal inflammatory exudate of healthy individuals compared to rheumatoid arthritis patients,anti-citrullinated protein autoantibodies; mucosal inflammation; rheumatoid arthritis; rheumatoid factor,2020
Periodontitis and systemic markers of neurodegeneration: A case-control study,amyloid beta peptides; C-reactive protein; neurodegeneration; periodontitis; systemic inflammation,2020
Platelets as inflammatory mediators in a murine model of periodontitis,host modulation therapy; inflammation; periodontitis; platelet,2020
The effect of the systemic folic acid intake as an adjunct to scaling and root planing on clinical parameters and homocysteine and C-reactive protein levels in gingival crevicular fluid of periodontitis patients: A randomized placebo-controlled clinical trial,C-reactive protein; folic acid; gingival crevicular fluid; homocysteine; periodontal treatment; periodontitis,2020
"A novel, fully digital approach to quantifying volume gain after soft tissue graft surgery. A pilot study",connective tissue graft; digital; mucogingival; recession; STL file; tunnel technique; volumetric analysis,2020
Immediate versus early non-occlusal loading of dental implants placed flapless in partially edentulous patients: A 10-year randomized clinical trial,dental implants; early dental implant loading; immediate dental implant loading; jaw edentulous partially; randomized controlled trial,2020
Randomized controlled clinical trial comparing implant sites augmented with a volume-stable collagen matrix or an autogenous connective tissue graft: 3-year data after insertion of reconstructions,collagen-based matrix; dental implant; soft tissue augmentation; soft tissue volume; subepithelial connective tissue graft,2020
Guest Editorial: Clarifications on the use of the new classification of periodontitis,classification; extent; grade; periodontitis; stage; tooth loss,2020
A randomized controlled trial of the effects of non-surgical periodontal therapy on cardiac function assessed by echocardiography in type 2 diabetic patients,cardiac function; diabetes mellitus; echocardiography; periodontitis; randomized clinical trial,2020
Soft tissue stability around dental implants after soft tissue grafting from the lateral palate or the tuberosity area - A randomized controlled clinical study,dental implants; soft tissue augmentation; soft tissue stability; volumetric analysis,2020
Periodontitis and airflow limitation in older Swedish individuals,ageing; airflow limitation; chronic obstructive pulmonary disease; periodontitis,2020
Iron overload and periodontal status in patients with sickle cell anaemia: A case series,ferritins; iron overload; periodontal disease; sickle cell anaemia; transferrin,2020
"Periodontal regeneration versus extraction and dental implant or prosthetic replacement of teeth severely compromised by attachment loss to the apex: A randomized controlled clinical trial reporting 10-year outcomes, survival analysis and mean cumulative cost of recurrence",dental implants; fixed partial dentures; health economics; periodontal regeneration; randomized controlled clinical trial; recurrence analysis; survival analysis,2020
Pleiotropic effects of vitamin D-3 on CD4(+) T lymphocytes mediated by human periodontal ligament cells and inflammatory environment,CD4-Positive T Lymphocytes; co-culture; Immunomodulation; Periodontal Ligament; Vitamin D,2020
Diagnostic accuracy of IL1 beta in saliva: The development of predictive models for estimating the probability of the occurrence of periodontitis in non-smokers and smokers,diagnostic accuracy; interleukin 1 beta; periodontitis; predictive values; prevalence; saliva; sensitivity; specificity,2020
Interleukin-35 inhibits alveolar bone resorption by modulating the Th17/Treg imbalance during periodontitis,alveolar bone loss; interleukin-35; periodontitis; RANKL; T lymphocytes,2020
Free gingival grafts for implants exhibiting a lack of keratinized mucosa: Extended follow-up of a randomized controlled trial,dental implant; free gingival graft; keratinized mucosa; randomized controlled trial,2020
Pocket elimination after osseous resective surgery: A systematic review and meta-analysis,periodontal pocket; periodontitis; surgery; residual probing depth; systematic review,2020
"Alveolar bone level at deciduous molars in Flemish children: A retrospective, radiographic study",adolescent; alveolar bone loss; bitewing radiography; child,2020
The effect of transcrestal sinus-floor elevation without graft on the long-term prognosis of maxillary implants,implant survival; maxillary augmentation; reduced bone height; transcrestal sinus-floor elevation,2020
Volume stability of the augmented sinus using a collagenated bovine bone mineral grafted in case of a perforated Schneiderian membrane: An experimental study in rabbits,animal study; Schneiderian membrane; volume stability; xenograft,2020
Social capital and periodontal disease in Hispanic/Latino adults in the United States: Results from the Hispanic Community Health Study/Study of Latinos,Hispanics; periodontal disease; social capital; social network; social support,2020
Periodontitis is associated with oral health-related quality of life in individuals with end-stage renal disease,cross-sectional study; kidney failure; chronic; oral health; periodontitis; quality of life,2020
Clinical and patient-centred long-term results of root coverage using the envelope technique in a private practice setting: 10-year results-A case series,connective tissue graft; envelope technique; Oral Health Impact Profile (OHIP); patient-centred outcomes; root coverage,2020
Global prevalence of aggressive periodontitis: A systematic review and meta-analysis,Africa; aggressive periodontitis; meta-analysis; prevalence; systematic review; world,2020
Integration of genome-wide association study and expression quantitative trait loci identifies data AIM2 as a risk gene of periodontitis,AIM2; eQTL; GWAS; periodontitis; Sherlock,2020
Obesity as predictive factor of periodontal therapy clinical outcomes: A cohort study,body mass index; obesity; periodontal therapy; periodontitis; prospective cohort,2020
Higher intakes of flavonoids are associated with lower salivary IL-1 beta and maintenance of periodontal health 3-4 years after scaling and root planing,diet; flavonoids; probing depth; salivary biomarkers; scaling and root planing,2020
Accuracy of cone beam computed tomography in evaluation of palatal mucosa thickness,CBCT; diagnostic imaging; digital impression; palatal mucosa thickness,2020
Injectable platelet-rich fibrin and microneedling for gingival augmentation in thin periodontal phenotype: A randomized controlled clinical trial,gingiva; gingival thickness; phenotype; platelet-rich fibrin; wound healing,2020
NLRP3 inflammasome mediates M1 macrophage polarization and IL-1 beta production in inflammatory root resorption,caspase-1; interleukin-1 beta; macrophage; NLRP3; root resorption,2020
Levels of smoking and dental implants failure: A systematic review and meta-analysis,dental implants; implant failure rate; meta-analysis; smoking,2020
Periodontitis and cardiovascular diseases: Consensus report,anti thrombotic therapy; atherosclerosis; bateremia; cardiovascular disease; chronic inflammation; periodontal therapy; periodontitis,2020
